mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgraph 0.3.5-1
mtdev 1.1.7-1
muparser 2.3.5-2
mutter 50.5-1
nano 9.2-1
nautilus 50.3.1-1
ncurses 6.6-2
ndctl 85-1
neon 0.37.1-1
net-snmp 5.9.5.2-1
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nftables 1:1.1.7-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
node-gyp 13.0.2-1
nodejs 26.9.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.129-1
numactl 2.0.19-1
nvidia-open-dkms 615.71.09-1
nvidia-prime 1.0-6
nvidia-settings 615.71.09-1
nvidia-utils 615.71.09-1
nvm 0.40.7-1
nvtop 3.3.2-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openai-codex 0.155.1-1
openal 1.25.2-2
opencode 2.0.11-1
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.44-1
orca 50.2-1
osinfo-db 20260812-1
ostree 2026.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-4
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.32-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
papers 50.3-1
papirus-folders 1.14.0-1
papirus-icon-theme 20260801-1
parted 3.7-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.86-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
